title;type;scimago_value;jcs_value
Performance Evaluation;journal;0.42;1.99
International Journal of Offshore and Polar Engineering;journal;0.41;0.67
International Journal of Applied Glass Science;journal;0.38;2.03
Language Resources and Evaluation;journal;0.35;1.36
Kyushu Journal of Mathematics;journal;0.32;0.35
Fundamenta Informaticae;journal;0.31;1.33
Journal of Forensic Nursing;journal;0.31;1.18
Cereal Foods World;journal;0.24;0.54
Law and Philosophy;journal;0.24;0.69
European Law Review;journal;0.23;0.76
Powder Metallurgy and Metal Ceramics;journal;0.22;0.51
Pakistan Journal of Agricultural Sciences;journal;0.22;0.75
Arquivo Brasileiro de Medicina Veterinaria e Zootecnia;journal;0.21;0.44
Tekstil ve Konfeksiyon;journal;0.20;0.50
Defence Science Journal;journal;0.20;0.71
Medicina dello Sport;journal;0.20;0.72
ScienceAsia;journal;0.19;0.62
Journal of Tropical Meteorology;journal;0.16;1.00
Scottish Medical Journal;journal;0.16;0.73
Polish Sociological Review;trade journal;0.11;0.28
Observatory;journal;0.11;0.91
Journal of the American College of Cardiology;journal;10.32;24.09
Cell Reports;journal;6.26;9.42
Seminars in Immunology;journal;3.77;11.13
Psychometrika;journal;3.38;2.50
Survey of Ophthalmology;journal;2.13;6.05
International Journal of Contemporary Hospitality Management;journal;2.08;6.51
Journal of Differential Equations;journal;2.01;2.43
Chromosoma;journal;1.95;4.32
Current Opinion in HIV and AIDS;journal;1.90;4.28
mSphere;journal;1.75;4.39
Regional Anesthesia and Pain Medicine;journal;1.62;6.29
Diabetes Research and Clinical Practice;journal;1.61;5.60
International Journal of Impact Engineering;journal;1.53;4.21
Seminars in Perinatology;journal;1.53;3.30
Earth Surface Processes and Landforms;journal;1.29;4.13
Planta;journal;1.25;4.12
ChemPhotoChem;journal;1.13;3.85
Computational Methods in Applied Mathematics;journal;1.10;1.38
Journal of Building Performance Simulation;journal;0.97;2.96
Frontiers in Veterinary Science;journal;0.88;3.41
International Journal of Social Psychiatry;journal;0.87;2.63
Quantitative Finance;journal;0.77;2.22
Mathematical Methods in the Applied Sciences;journal;0.72;2.32
Future Medicinal Chemistry;journal;0.71;3.81
Journal of Intelligent Material Systems and Structures;journal;0.65;2.57
Asia-Pacific Journal of Public Health;journal;0.57;1.40
Mineralogical Magazine;journal;0.56;2.06
Proceedings of the Yorkshire Geological Society;journal;0.55;1.16
Seminars in Speech and Language;journal;0.52;1.76
Ichthyological Research;journal;0.49;1.11
Allergologia et Immunopathologia;journal;0.48;1.67
Journal of Manipulative and Physiological Therapeutics;journal;0.45;1.44
Journal of AOAC International;journal;0.43;1.91
Vibrational Spectroscopy;journal;0.42;2.51
Petroleum Science and Technology;journal;0.40;1.27
Internal Medicine;journal;0.39;1.27
African Journal of Marine Science;journal;0.36;1.18
Journal of Political Ideologies;journal;0.36;1.34
Canadian Journal of Civil Engineering;journal;0.32;1.38
Russian Journal of Theriology;journal;0.24;0.52
Studies in East European Thought;journal;0.21;0.24
Acta Biologica Cracoviensia Series Botanica;journal;0.20;0.94
Journal of Family Practice;journal;0.17;0.49
Notarzt;journal;0.14;0.35
Wulfenia;journal;0.14;0.94
Catholic University Law Review;journal;0.12;0.51
Organization Studies;journal;4.44;6.31
American Journal of Sociology;journal;3.76;4.69
Essays in Biochemistry;journal;3.35;8.00
Journal of Controlled Release;journal;2.12;9.78
Anaesthesia;journal;1.84;6.96
Explorations in Economic History;journal;1.71;2.26
EFORT Open Reviews;journal;1.59;4.62
Caries Research;journal;1.36;4.06
Journal of Sound and Vibration;journal;1.32;3.66
Cancer cytopathology;journal;1.29;5.28
Clinical Cardiology;journal;1.26;2.88
Journal of Pediatrics;journal;1.23;4.41
Microbial Ecology;journal;1.16;4.55
Cancer Epidemiology;journal;1.16;2.98
Animal Conservation;journal;1.11;3.64
Journal of Nephrology;journal;1.04;3.90
Gut Pathogens;journal;1.03;4.18
Medical Mycology;journal;1.00;4.08
Evaluation;journal;1.00;2.78
Interfaces and Free Boundaries;journal;0.96;1.39
Studia Mathematica;journal;0.95;1.02
Nephron;journal;0.95;2.85
International Journal of Primatology;journal;0.89;2.26
Bulletin of the American Mathematical Society;journal;0.88;2.73
Materials Research Bulletin;journal;0.86;4.64
Taxon;journal;0.82;2.34
BMC Medical Education;journal;0.81;2.46
Housing Policy Debate;journal;0.80;2.36
Intensive and Critical Care Nursing;journal;0.80;3.07
MIT Sloan Management Review;journal;0.77;3.16
Land;journal;0.74;3.40
Critical Reviews in Therapeutic Drug Carrier Systems;journal;0.73;4.89
International Journal of Sustainable Development and World Ecology;journal;0.68;3.72
Annals of Nuclear Medicine;journal;0.67;2.67
Biofouling;journal;0.67;3.21
Dreaming;journal;0.64;0.76
Micromachines;journal;0.58;2.89
Geobios;journal;0.56;1.53
Microelectronic Engineering;journal;0.55;2.52
Mycobiology;journal;0.53;1.86
Architectural Engineering and Design Management;journal;0.49;2.60
Acta Informatica;journal;0.48;0.38
Estudios Atacamenos;journal;0.48;0.58
Proceedings of the Steklov Institute of Mathematics;journal;0.44;0.48
IEEE Aerospace and Electronic Systems Magazine;journal;0.40;1.59
Cahiers Agricultures;journal;0.38;1.05
Political Quarterly;journal;0.37;1.03
African Zoology;journal;0.37;1.44
American Journal of Psychology;journal;0.36;1.09
International Journal of Communication Systems;journal;0.34;2.05
Journal of Infection in Developing Countries;journal;0.32;0.97
International Journal of Aerospace Psychology;journal;0.28;0.94
Journal of Clinical Ultrasound;journal;0.27;0.91
Acta Biotheoretica;journal;0.26;1.77
Computer Science and Information Systems;journal;0.24;1.17
Geofizika;journal;0.24;1.64
Kagaku Kogaku Ronbunshu;journal;0.21;0.42
Accreditation and Quality Assurance;journal;0.19;0.66
Computer Systems Science and Engineering;journal;0.19;1.49
Cornell International Law Journal;journal;0.14;0.72
Molecular Biology and Evolution;journal;6.64;16.24
Quantitative Economics;journal;4.06;1.78
Journal of Abnormal Psychology;journal;3.81;6.67
Journal of Management Information Systems;journal;3.07;7.84
Biochemical Society Transactions;journal;2.56;5.41
Biology of Blood and Marrow Transplantation;journal;2.30;5.74
Science and Technology of Advanced Materials;journal;1.69;8.09
Journal of Rheumatology;journal;1.58;4.67
Food Research International;journal;1.48;6.48
Industry and Innovation;journal;1.44;3.42
Stem Cells International;journal;1.21;5.44
Cytotherapy;journal;1.19;5.41
Clinical Breast Cancer;journal;1.08;3.23
Seminars in Neurology;journal;1.05;3.42
Biodiversity and Conservation;journal;1.03;3.55
Journal of Urban Affairs;journal;0.98;3.38
Pacific Journal of Mathematics;journal;0.97;0.82
International Journal of Legal Medicine;journal;0.96;2.69
Reviews in Chemical Engineering;journal;0.96;6.30
Preventive Veterinary Medicine;journal;0.82;2.67
Publications of the Research Institute for Mathematical Sciences;journal;0.79;0.86
Health Economics Review;journal;0.78;2.31
Weed Research;journal;0.69;2.42
Orthopedics;journal;0.66;1.39
Chelonian Conservation and Biology;journal;0.65;1.67
Applications in Plant Sciences;journal;0.64;1.94
Community Mental Health Journal;journal;0.64;1.76
International Neurourology Journal;journal;0.63;2.84
North American Journal of Economics and Finance;journal;0.61;2.77
Nursing Research;journal;0.58;2.38
Legal Medicine;journal;0.52;1.38
Journal for Specialists in Pediatric Nursing;journal;0.50;1.26
Bulletin of the Australian Mathematical Society;journal;0.48;0.63
Journal of Parasitology;journal;0.47;1.28
Theoretical Computer Science;journal;0.46;0.83
Eastern Mediterranean Health Journal;journal;0.44;1.63
Facial Plastic Surgery;journal;0.44;1.45
Genetica;journal;0.41;1.08
Pediatric Annals;journal;0.41;1.13
Journal of Family Studies;journal;0.41;1.96
Journal of Investigative Surgery;journal;0.38;2.53
Russian Journal of Nondestructive Testing;journal;0.37;0.69
Human Studies;journal;0.37;0.92
Conservation Genetics Resources;journal;0.35;0.97
Indian Journal of Physics;journal;0.34;1.95
Radiophysics and Quantum Electronics;journal;0.32;0.77
Archives Europeennes de Sociologie;journal;0.31;1.50
South African Journal of Industrial Engineering;journal;0.23;0.65
Austrian Journal of Earth Sciences;journal;0.22;0.80
Revista de Economia Mundial;journal;0.19;0.38
Trimestre Economico;journal;0.18;0.20
Reports on Mathematical Logic;journal;0.10;0.07
Advanced Science;journal;5.39;16.81
Haematologica;journal;2.78;9.94
International Journal of Information Management;journal;2.77;14.10
Journal of Cardiovascular Magnetic Resonance;journal;2.56;5.36
Environmental Health Perspectives;journal;2.26;9.03
Journal of Archaeological Science;journal;1.57;3.22
Journal of Cancer Survivorship;journal;1.52;4.44
Financial Analysts Journal;journal;1.52;2.67
Marine and Petroleum Geology;journal;1.34;4.35
Policy and Internet;journal;1.28;3.80
Journal of Analytical Toxicology;journal;1.16;3.37
Journal of Endourology;journal;1.12;2.94
Digital Communications and Networks;journal;1.08;6.80
European Physical Education Review;journal;1.08;3.79
Sustainable Environment Research;journal;1.06;4.98
Lipids in Health and Disease;journal;1.05;3.88
Psychiatric Clinics of North America;journal;1.03;3.41
Kinetic and Related Models;journal;0.99;1.43
Advances in Theoretical and Mathematical Physics;journal;0.97;1.28
Journal of Child and Adolescent Psychopharmacology;journal;0.94;2.58
Documenta Ophthalmologica;journal;0.78;2.38
Materials Letters;journal;0.76;3.42
Macroeconomic Dynamics;journal;0.74;1.15
Immunological Investigations;journal;0.74;3.66
Drug Delivery and Translational Research;journal;0.73;4.62
Journal of Sea Research;journal;0.72;2.11
Sexualities;journal;0.71;2.35
Cancer Investigation;journal;0.69;2.18
International Journal of Pediatric Otorhinolaryngology;journal;0.63;1.68
Saudi Journal of Gastroenterology;journal;0.61;2.49
Dermatologica Sinica;journal;0.60;1.32
Journal de Mycologie Medicale;journal;0.60;2.39
Library Trends;journal;0.58;1.31
Coastal Management;journal;0.55;1.92
Australian Journal of Primary Health;journal;0.52;1.31
Journal of Mathematical Imaging and Vision;journal;0.50;1.63
Journal of Fusion Energy;journal;0.50;1.49
Colombia Medica;journal;0.46;1.30
High Pressure Research;journal;0.40;1.43
Acta Cirurgica Brasileira;journal;0.35;1.39
Central European Journal of Public Health;journal;0.33;1.16
Jokull;journal;0.32;0.50
Eurasip Journal on Advances in Signal Processing;journal;0.32;1.63
Sensor Review;journal;0.30;1.58
Journal of Communications Technology and Electronics;journal;0.30;0.53
Medical Law Review;journal;0.29;1.27
Indian Journal of Pharmacology;journal;0.29;1.20
Acta Bioethica;journal;0.19;0.41
Annals of Oncology;journal;7.95;32.98
Brookings Papers on Economic Activity;journal;7.13;6.57
Trends in Plant Science;journal;4.59;18.31
Journal of Occupational Health Psychology;journal;4.53;7.25
Journal of Organizational Behavior;journal;3.94;8.17
Current Climate Change Reports;journal;3.66;9.08
Research Synthesis Methods;journal;3.38;5.27
Medical Image Analysis;journal;2.89;8.55
Fish and Fisheries;journal;2.75;7.22
Schizophrenia Research;journal;1.92;4.94
Computational and Structural Biotechnology Journal;journal;1.91;7.27
Pediatric Diabetes;journal;1.68;4.87
Journal of Dynamics and Differential Equations;journal;1.55;2.24
Journal of Quality Technology;journal;1.50;3.95
Review of Higher Education;journal;1.40;1.61
International Communications in Heat and Mass Transfer;journal;1.33;5.68
EFSA Journal;journal;1.08;3.34
Journal of Virus Eradication;journal;1.05;3.70
Journal of Gender Studies;journal;1.02;2.54
Journal of Mathematical Fluid Mechanics;journal;1.00;1.30
Antiquity;journal;0.96;1.95
Progress in Orthodontics;journal;0.95;2.75
DNA and Cell Biology;journal;0.90;3.31
Economic Systems;journal;0.89;3.21
IEEE Antennas and Propagation Magazine;journal;0.88;2.59
Archives of Pharmacal Research;journal;0.86;4.95
Engineering Failure Analysis;journal;0.84;3.11
AIAA Journal;journal;0.83;2.13
Western Journal of Emergency Medicine;journal;0.81;2.45
Cultural Sociology;journal;0.79;1.79
Innovations in Education and Teaching International;journal;0.78;1.95
Inverse Problems and Imaging;journal;0.76;1.64
Postgraduate Medicine;journal;0.74;3.84
European Journal of Social Work;journal;0.72;1.81
Journal of Medical Biochemistry;journal;0.68;3.40
Annals of the American Academy of Political and Social Science;journal;0.68;2.15
Journal of Applied Biomechanics;journal;0.68;1.83
IEEE Transactions on Nanotechnology;journal;0.57;2.57
Asian Economic Papers;journal;0.52;1.11
Cognitive Systems Research;journal;0.52;3.52
Journal of Industrial Textiles;journal;0.52;3.72
Young;journal;0.51;1.64
Journal of Micromechanics and Microengineering;journal;0.49;1.88
Thermophysics and Aeromechanics;journal;0.47;1.02
Fluid Dynamics Research;journal;0.47;1.07
Arid Land Research and Management;journal;0.46;1.70
Journal of Latin American Studies;journal;0.43;0.91
Toxin Reviews;journal;0.40;4.27
International Journal of Surgical Pathology;journal;0.36;1.27
International Journal of Arts Management;journal;0.35;1.00
Journal of Nanophotonics;journal;0.32;1.49
Atomic Spectroscopy;journal;0.29;2.04
Acta Geodynamica et Geomaterialia;journal;0.29;1.18
Studia Psychologica;journal;0.25;0.85
Journal of Historical Sociology;journal;0.19;0.60
Japanese Journal of Veterinary Research;journal;0.17;0.65
Diabetologe;journal;0.13;0.40
Geometric and Functional Analysis;journal;3.95;2.15
Quantum;journal;2.86;6.78
Journal of Economic History;journal;2.35;3.55
Publications of the Astronomical Society of the Pacific;journal;2.29;5.45
Annals of Intensive Care;journal;2.28;6.93
Statistical Science;journal;2.20;2.90
Europace;journal;2.12;5.21
Urban Education;journal;2.09;4.38
Cognitive Behaviour Therapy;journal;1.96;5.76
Acta Pharmaceutica Sinica B;journal;1.91;11.41
Science of the Total Environment;journal;1.80;7.96
Medical Education;journal;1.78;6.25
Magnetic Resonance in Medicine;journal;1.70;4.67
Frontiers in Marine Science;journal;1.56;4.91
Biology of the Cell;journal;1.54;4.46
Computers in Industry;journal;1.43;7.64
Brain Connectivity;journal;1.31;2.26
Aquaculture;journal;1.07;4.24
Behavioral Sleep Medicine;journal;1.02;2.96
Algae;journal;0.92;2.50
Clinical Toxicology;journal;0.84;4.47
Current Opinion in Pediatrics;journal;0.82;2.86
Australian Critical Care;journal;0.73;2.74
SLAS Technology;journal;0.71;3.05
Journal of Medical Systems;journal;0.69;4.46
Artificial Organs;journal;0.68;3.09
Journal of Solid State Chemistry;journal;0.65;3.50
Ramanujan Journal;journal;0.60;0.84
Journal of the Korean Astronomical Society;journal;0.57;1.39
Solid State Sciences;journal;0.57;3.06
Journal of Lie Theory;journal;0.53;0.61
Micron;journal;0.51;2.25
Journal of Food Biochemistry;journal;0.51;2.72
Plant Biotechnology Reports;journal;0.50;2.01
Australian Economic History Review;journal;0.49;0.67
International Review of Finance;journal;0.49;1.82
International Journal of Quantum Chemistry;journal;0.48;2.44
American Mathematical Monthly;journal;0.46;0.38
Language Sciences;journal;0.45;0.68
Economic Change and Restructuring;journal;0.41;2.47
Indian Journal of Dermatology;journal;0.40;1.49
Genetic Programming and Evolvable Machines;journal;0.37;1.71
International Journal of Information Security;journal;0.34;1.99
Daedalus;journal;0.34;1.24
Colloquium Mathematicum;journal;0.32;0.51
Nutricion Hospitalaria;journal;0.31;1.06
Politische Vierteljahresschrift;journal;0.23;0.93
Current Topics in Nutraceutical Research;journal;0.21;0.42
Revista MVZ Cordoba;journal;0.20;0.74
Veterinaria Mexico;journal;0.18;0.50
Gayana;journal;0.18;0.56
German Journal of Agricultural Economics;journal;0.15;0.62
Kuwait Medical Journal;journal;0.12;0.08
Trends in Cell Biology;journal;8.71;20.81
Annual Review of Nuclear and Particle Science;book series;5.63;14.22
Progress in Aerospace Sciences;journal;2.33;8.65
Hydrology and Earth System Sciences;journal;2.00;5.75
Drug Discovery Today;journal;1.78;7.85
Developmental Biology;journal;1.77;3.58
Meat Science;journal;1.43;5.21
Review of International Political Economy;journal;1.41;4.66
European Journal of Cardio-thoracic Surgery;journal;1.30;4.19
Accounting Horizons;journal;1.30;2.16
Current Opinion in Green and Sustainable Chemistry;journal;1.23;6.46
European Planning Studies;journal;1.21;3.27
